InstitutionName,RD2017,RDRank,Citations,PatentsTOP250orALL,PatentsRank,ResearchRank,NationalRank
Jacksonville University,649,471,2339,#N/A,0,#N/A,#N/A
James Madison University,3248,287,110745,6,171,1544,311
Jarvis Christian College,0,0,#N/A,#N/A,0,#N/A,#N/A
John Brown University,212,581,#N/A,#N/A,0,#N/A,#N/A
John Carroll University,367,542,6195,#N/A,0,#N/A,#N/A
Johns Hopkins University,#N/A,0,4103331,1557,4,6,12
Juniata College,421,523,#N/A,#N/A,0,#N/A,#N/A
Kalamazoo College,671,463,#N/A,#N/A,0,#N/A,#N/A
Kansas State University,196478,60,27147,213,53,422,124
Kean University,558,490,32356,#N/A,0,#N/A,#N/A
Keene State College,908,423,#N/A,#N/A,0,#N/A,#N/A
Kennesaw State University,9510,202,225259,#N/A,0,1722,329
Kent State University,42003,123,#N/A,115,78,704,180
Kentucky State University,7412,220,#N/A,#N/A,0,#N/A,#N/A
Kenyon College,1057,404,2311,#N/A,0,#N/A,#N/A
Kettering University,4233,262,4753,3,200,-,332
Kingston University,#N/A,0,#N/A,#N/A,0,1597,86
Kutztown University of Pennsylvania,463,515,#N/A,#N/A,0,#N/A,#N/A
La Salle University,898,428,6760,#N/A,0,#N/A,#N/A
La Sierra University,2202,322,#N/A,#N/A,0,#N/A,#N/A
Lafayette College,1831,347,20642,#N/A,0,-,353
Lake Erie College of Osteopathic Medicine,639,475,#N/A,#N/A,0,#N/A,#N/A
Lake Forest College,488,509,#N/A,2,209,#N/A,#N/A
Lake Superior State University,1067,403,#N/A,#N/A,0,#N/A,#N/A
Lamar University,3883,268,33343,#N/A,0,#N/A,#N/A
Langston University,11543,193,#N/A,#N/A,0,#N/A,#N/A
Lawrence Technological University,1942,336,4605,4,180,#N/A,#N/A
Lawrence University,378,534,#N/A,#N/A,0,-,319
Le Moyne College,#N/A,0,5223,#N/A,0,#N/A,#N/A
Lehigh University,36969,129,705611,91,86,728,135
LeMoyne-Owen College,0,0,#N/A,#N/A,0,#N/A,#N/A
Lesley University,0,0,#N/A,#N/A,0,#N/A,#N/A
LeTourneau University,805,445,#N/A,#N/A,0,#N/A,#N/A
Lewis & Clark College,3438,278,8948,4,186,#N/A,#N/A
Lewis-Clark State College,378,535,#N/A,#N/A,0,#N/A,#N/A
Liberty University,850,436,7448,#N/A,0,#N/A,#N/A
Life University,179,589,#N/A,#N/A,0,#N/A,#N/A
Lincoln University,#N/A,0,299972,#N/A,0,1378,8
Linfield College,249,573,#N/A,#N/A,0,#N/A,#N/A
Lock Haven University of Pennsylvania,#N/A,0,#N/A,1,257,#N/A,#N/A
Logan University,193,586,#N/A,#N/A,0,#N/A,#N/A
Loma Linda University,21846,151,147300,133,72,1026,232
Long Island University,2290,315,36287,2,215,#N/A,#N/A
Louisiana Tech University,22741,147,44263,35,116,1019,223
Loyola Marymount University,7071,227,56127,#N/A,0,#N/A,#N/A
Loyola University Chicago,39738,125,288208,#N/A,0,614,163
Loyola University Maryland,784,448,32178,#N/A,0,#N/A,#N/A
Loyola University New Orleans,541,493,5414,#N/A,0,#N/A,#N/A
Luther College,838,439,#N/A,#N/A,0,#N/A,#N/A
Lycoming College,0,0,#N/A,#N/A,0,#N/A,#N/A
Lyon College,0,0,#N/A,#N/A,0,#N/A,#N/A
Macalester College,1916,337,17034,#N/A,0,#N/A,#N/A
Maine Maritime Academy,1763,353,#N/A,#N/A,0,#N/A,#N/A
Manhattan College,897,429,16920,2,216,1325,231
Marine Corps University,0,0,#N/A,#N/A,0,#N/A,#N/A
Marist College,692,459,3557,#N/A,0,#N/A,#N/A
Marquette University,30034,137,202957,17,144,1153,250
Marshall B. Ketchum University,1512,370,#N/A,#N/A,0,#N/A,#N/A
Marshall University,18348,163,62879,#N/A,0,1663,305
Maryland Institute College of Art,499,502,#N/A,#N/A,0,#N/A,#N/A
Marywood University,0,0,#N/A,#N/A,0,#N/A,#N/A
Massachusetts Institute of Technology,952017,7,#N/A,4017,1,7,2
Mayo Clinic College of Medicine and Science,#N/A,0,#N/A,#N/A,0,501,146
Mayville State University,262,569,#N/A,#N/A,0,#N/A,#N/A
McNeese State University,1467,374,#N/A,1,235,#N/A,#N/A
Medical College of Wisconsin,209618,58,524159,64,95,411,125
Medical University of South Carolina,262267,46,708423,57,99,338,112
Meharry Medical College,16782,170,1442,3,202,#N/A,#N/A
Menlo College,#N/A,0,#N/A,#N/A,0,-,235
Mercer University,29447,140,38622,7,161,#N/A,#N/A
Mercy College,0,0,#N/A,#N/A,0,#N/A,#N/A
Merrimack College,1055,405,8655,#N/A,0,#N/A,#N/A
Messiah College,267,568,#N/A,#N/A,0,#N/A,#N/A
Metropolitan State University,0,0,#N/A,#N/A,0,#N/A,#N/A
Metropolitan State University of Denver,#N/A,0,10617,#N/A,0,#N/A,#N/A
MGH Institute of Health Professions,2282,317,1053,#N/A,0,#N/A,#N/A
Miami University,17239,167,#N/A,23,133,926,185
Michigan State University,694917,16,#N/A,808,12,105,61
Michigan Technological University,71629,103,445489,134,71,852,205
Middle Tennessee State University,4714,257,68648,#N/A,0,#N/A,#N/A
Middlebury College,2043,332,28324,#N/A,0,#N/A,#N/A
Midwestern State University,874,432,#N/A,#N/A,0,#N/A,#N/A
Midwestern University,9207,204,29042,#N/A,0,#N/A,#N/A
Miles College,0,0,#N/A,#N/A,0,#N/A,#N/A
Millersville University of Pennsylvania,673,462,#N/A,#N/A,0,#N/A,#N/A
Mills College,3353,282,#N/A,#N/A,0,#N/A,#N/A
Millsaps College,839,438,#N/A,#N/A,0,#N/A,#N/A
Milwaukee School of Engineering,3374,281,1187,8,160,#N/A,#N/A
"Minnesota State University, Mankato",2471,306,#N/A,#N/A,0,#N/A,#N/A
Minot State University,436,520,#N/A,#N/A,0,#N/A,#N/A
Mississippi College,0,0,#N/A,#N/A,0,#N/A,#N/A
Mississippi State University,240972,48,410548,95,84,694,173
Mississippi University for Women,0,0,#N/A,#N/A,0,#N/A,#N/A
